candidate,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
low_history_bayes_k2,2019,4839,506,0.5533596837944664,0.605962196333139,0.6752906369208734,0.2412585372721482,0.055048470802251545
low_history_bayes_k2,2020,5345,444,0.6509009009009009,0.698167320952749,0.636666562261931,0.22261963591364617,0.04715939308436021
low_history_bayes_k2,2021,5789,497,0.613682092555332,0.6619838056680163,0.6517454013104207,0.23001311756791024,0.04399525726556342
low_history_bayes_k2,2022,6286,506,0.6067193675889329,0.6615853658536585,0.6495092170397179,0.22921898244049208,0.029002748960163808
low_history_bayes_k2,2023,6792,504,0.6051587301587301,0.6504807692307693,0.6567515041207546,0.23257205944587392,0.01695708272735027
low_history_bayes_k2,2024,7296,513,0.6276803118908382,0.6622889877506246,0.6523420239712003,0.2301827646121347,0.038604732660549514
low_history_bayes_k4,2019,4839,506,0.567193675889328,0.6079643087982596,0.6741140950281903,0.24073060482723302,0.03640699370447167
low_history_bayes_k4,2020,5345,444,0.6531531531531531,0.6979435754530846,0.6366836267120126,0.22267904546307363,0.05562778310129803
low_history_bayes_k4,2021,5789,497,0.607645875251509,0.6559271255060729,0.6548459190551117,0.23143392851144484,0.019081860143911104
low_history_bayes_k4,2022,6286,506,0.616600790513834,0.6638367729831145,0.648299516162994,0.22864165139568707,0.04729733400573063
low_history_bayes_k4,2023,6792,504,0.6130952380952381,0.6523880832282473,0.6562597431041906,0.23229456960557995,0.033797360053870774
low_history_bayes_k4,2024,7296,513,0.6257309941520468,0.6662349929916509,0.6507916111987636,0.2294659423556398,0.03105623889221727
low_history_bayes_k8,2019,4839,506,0.567193675889328,0.6106127725316476,0.673733411887092,0.2404723521212202,0.04000401905061432
low_history_bayes_k8,2020,5345,444,0.6531531531531531,0.6940992209588511,0.6383955354740571,0.22351535739431125,0.05410532106498667
low_history_bayes_k8,2021,5789,497,0.6056338028169014,0.6559271255060728,0.654568145423607,0.23133049819923085,0.046091957711027365
low_history_bayes_k8,2022,6286,506,0.6126482213438735,0.6603658536585367,0.6498209885254739,0.22938334560453272,0.03365536182239999
low_history_bayes_k8,2023,6792,504,0.6150793650793651,0.6491724464060531,0.6570618534522672,0.23270437814749917,0.03396949908288514
low_history_bayes_k8,2024,7296,513,0.6140350877192983,0.6655798647083917,0.6510184026828337,0.22956557882471093,0.0606377909703825
