name,family,feature_set,params,features,validation_fights,accuracy,roc_auc,log_loss,brier,ece,accuracy_std_by_year
logistic_rich_548_c1,logistic,rich_548,{'C': 1.0},107,2970,0.6121212121212121,0.6460495601950171,0.6640601044962018,0.23494835125117206,0.024586753132688665,0.022390103766965586
logistic_rich_365_c0.1,logistic,rich_365,{'C': 0.1},107,2970,0.6111111111111112,0.6477045011489746,0.6622156521917822,0.2342404395569543,0.025167657709869604,0.02032925885204282
xgboost_rich548,xgboost,rich_548,"{'n_estimators': 350, 'learning_rate': 0.025, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8}",107,2970,0.6104377104377104,0.6503480049952263,0.6568663385311598,0.23246155638880422,0.022738064960999924,0.023611346306663075
elastic_net_rich548_l1r0.75,elastic_net,rich_548,"{'C': 0.1, 'l1_ratio': 0.75}",107,2970,0.6101010101010101,0.6520433324983754,0.6582703070507248,0.23269163355559186,0.011007979844409033,0.029230603710062482
logistic_rich_180_c0.1,logistic,rich_180,{'C': 0.1},107,2970,0.6097643097643097,0.6460722492675968,0.6632597946053207,0.23471325200384419,0.027177584278813588,0.023869806120746538
elastic_net_rich548_l1r0.5,elastic_net,rich_548,"{'C': 0.1, 'l1_ratio': 0.5}",107,2970,0.6084175084175084,0.651418021658081,0.658898550895664,0.23293564883731843,0.01484723473930823,0.030268852875247484
gradient_boosting_rich548,gradient_boosting,rich_548,"{'n_estimators': 100, 'learning_rate': 0.04, 'max_depth': 2}",107,2970,0.6077441077441077,0.6447791990212841,0.6609570311852453,0.2343318990612361,0.02667497331307787,0.022572553856510528
logistic_rich_730_c1,logistic,rich_730,{'C': 1.0},107,2970,0.6077441077441077,0.6461158122869495,0.6639893028921395,0.23492309252506277,0.02279417195086866,0.02470395363939138
elastic_net_rich548_l1r0.25,elastic_net,rich_548,"{'C': 0.1, 'l1_ratio': 0.25}",107,2970,0.6067340067340067,0.6500407949524981,0.6600506731585837,0.23339044525960517,0.02123266555619387,0.028118723659120774
logistic_rich_548_c0.1,logistic,rich_548,{'C': 0.1},107,2970,0.6057239057239058,0.6483434254328169,0.6618435805785655,0.23408639003623594,0.026431271332612076,0.02103613219336827
logistic_core_c0.1,logistic,core,{'C': 0.1},22,2970,0.6053872053872054,0.6467102659885355,0.6598297013594198,0.23369882109959375,0.010073878223692549,0.01949403851841428
logistic_rich_1095_c0.1,logistic,rich_1095,{'C': 0.1},107,2970,0.6053872053872054,0.6492423664884213,0.6611193384736859,0.23378030374839365,0.01942025225445579,0.025559146974754962
logistic_core_c1,logistic,core,{'C': 1.0},22,2970,0.6050505050505051,0.6463876273764534,0.6599518495083929,0.23375038047967733,0.009536082489745346,0.02010943832235036
logistic_rich_730_c0.1,logistic,rich_730,{'C': 0.1},107,2970,0.6047138047138048,0.6486438287537709,0.6615571024221759,0.23396566114954384,0.024215630419801976,0.024369341287545226
hist_gradient_rich548,hist_gradient,rich_548,"{'max_iter': 180, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 2.0}",107,2970,0.603030303030303,0.6453459720543231,0.6610074916731654,0.23429762345656896,0.023041874606262835,0.025408704268553305
extra_trees_rich548,extra_trees,rich_548,"{'n_estimators': 300, 'min_samples_leaf': 6, 'max_features': 0.7}",107,2970,0.6006734006734007,0.6395346198945049,0.6648696910320891,0.2357679387572808,0.011004163816995519,0.01918324456147469
random_forest_rich548,random_forest,rich_548,"{'n_estimators': 300, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",107,2970,0.5996632996632997,0.6464729382893528,0.6589580850928861,0.2333893200730644,0.020307425808720133,0.01968304277086188
