date,fighter_a,fighter_b,fighter_a_won_saved,Rich Logistic,primary_category,ufc_debutant_or_very_low_experience,large_age_difference,large_reach_difference,large_size_difference,fighter_moving_weight_classes,long_layoff,short_notice,recent_decline,recent_improvement,wrestler_vs_striker,grappler_vs_weak_submission_defense,power_puncher_vs_poor_defense,low_data_fighter,close_50_50_fight,major_upset
2025-06-14,raoni barcelos,cody garbrandt,1,0.4211483301446226,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2025-06-14,kamaru usman,joaquin buckley,1,0.4838909350237311,fighter_moving_weight_classes,False,False,False,False,True,True,,True,True,False,False,False,False,True,False
2025-06-14,miranda maverick,rose namajunas,0,0.6058692856597335,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2025-06-21,hamdy abdelwahab,mohammed usman,0,0.5917664196683515,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,True,False,False,False,False,True,False,False
2025-06-21,irina alekseeva,klaudia sygula,0,0.6578424364000567,ufc_debutant_or_very_low_experience,True,False,False,False,False,True,,False,False,False,False,False,True,False,False
2025-06-21,ismail naurdiev,junyong park,0,0.6084719685328662,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2025-06-21,jamahal hill,khalil rountree jr.,0,0.6373765343961556,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-06-21,rafael fiziev,ignacio bahamondes,1,0.3497971082777454,recent_decline,False,False,False,False,False,False,,True,True,False,False,False,False,False,False
2025-06-21,seokhyeon ko,oban elliott,1,0.3081683118886327,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-06-28,hyder amil,jose delgado,0,0.6179561475730694,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-06-28,jack hermansson,gregory rodrigues,0,0.5106317178429182,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2025-06-28,niko price,jacobe smith,0,0.5504340630570799,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-06-28,felipe lima,payton talbott,0,0.6895714994391907,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,False,False
2025-07-12,derrick lewis,tallison teixeira,1,0.1080748574094919,ufc_debutant_or_very_low_experience,True,True,False,False,False,False,,False,False,False,False,True,True,False,True
2025-07-12,junior tafa,tuco tokkos,0,0.6837366759914381,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,False,False
2025-07-12,valter walker,kennedy nzechukwu,1,0.3828398019332599,wrestler_vs_striker,False,False,False,False,False,False,,False,False,True,False,True,False,False,False
2025-07-12,morgan charriere,nate landwehr,1,0.431859075289754,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-07-19,adam fugitt,islam dulatov,0,0.6185332591307618,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-07-19,brunno ferreira,jackson mcvey,1,0.4715456806468878,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2025-07-19,nicolle caliari,carli judice,0,0.5479532705461162,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2025-07-19,patricio freire,dan ige,1,0.2707871581424968,ufc_debutant_or_very_low_experience,True,False,True,False,False,False,,True,False,False,False,False,True,False,True
2025-07-19,nikolay veretennikov,francisco prado,1,0.3045516719704782,ufc_debutant_or_very_low_experience,True,True,False,False,False,False,,False,False,False,False,False,True,False,False
2025-07-19,kevin holland,daniel rodriguez,0,0.5470312305100976,large_reach_difference,False,False,True,False,False,False,,False,False,False,True,False,False,True,False
2025-07-19,roman kopylov,paulo costa,0,0.5629524657207321,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-07-26,billy elekana,ibo aslan,1,0.4232643903791558,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-07-26,bogdan guskov,nikita krylov,1,0.37843999064709,recent_improvement,False,False,False,False,False,False,,False,True,True,True,True,False,False,False
2025-07-26,robert whittaker,reinier de ridder,0,0.6173373296760252,wrestler_vs_striker,False,False,False,False,False,False,,False,False,True,False,False,False,False,False
2025-08-02,kevin vallejos,danny silva,1,0.3674509252789528,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,True,False,False,True,False,False
2025-08-02,nick klein,andrey pulyaev,0,0.509414734681592,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2025-08-02,nathan fletcher,rinya nakamura,0,0.5577992730395428,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-08-09,andre fili,christian rodriguez,1,0.3143483825118922,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-08-09,cody brundage,eric mcconico,0,0.5253838282616703,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,True,False
2025-08-09,eryk anders,christian leroy duncan,0,0.5629520005140741,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2025-08-16,alexander hernandez,chase hooper,1,0.3013666559380087,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2025-08-16,dricus du plessis,khamzat chimaev,0,0.5184831553540652,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2025-08-16,carlos prates,geoff neal,1,0.4254416121899624,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-08-16,jared cannonier,michael page,0,0.5508111161247744,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-08-16,loopy godinez,jessica andrade,1,0.4795896628847007,fighter_moving_weight_classes,False,False,False,False,True,False,,True,False,False,False,False,False,True,False
2025-08-16,tim elliott,kai asakura,1,0.2840208790125506,ufc_debutant_or_very_low_experience,True,False,False,False,True,True,,False,True,False,False,False,True,False,True
2025-08-23,zhang mingyang,johnny walker,0,0.637351351045477,large_reach_difference,False,False,True,False,False,False,,True,False,False,False,False,False,False,False
2025-08-23,michel pereira,kyle daukaus,0,0.6016593391745058,long_layoff,False,False,False,False,False,True,,True,False,False,False,False,False,False,False
2025-08-23,kiefer crosbie,taiyilake nueraji,0,0.5925666167111115,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-09-06,rhys mckee,axel sola,0,0.5386197440549024,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2025-09-06,benoit saint denis,mauricio ruffy,1,0.4794374886630051,recent_decline,False,False,False,False,False,False,,True,False,True,False,True,False,True,False
2025-09-06,brad tavares,robert bryczek,0,0.648272433686264,ufc_debutant_or_very_low_experience,True,False,False,False,False,True,,True,False,False,False,False,True,False,False
2025-09-06,ante delija,marcin tybura,1,0.2762444755134903,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,True
2025-09-06,sam patterson,trey waters,1,0.4475800927440054,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,True,True,False,False,True,False,False
2025-09-06,sam hughes,shauna bannon,1,0.4198794701135953,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2025-09-13,alessandro costa,alden coria,0,0.6683643183454981,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-09-13,claudio puelles,joaquim silva,0,0.7112893884543104,long_layoff,False,False,False,False,False,True,,True,False,True,False,False,False,False,True
2025-09-13,rob font,david martinez,0,0.6948180354773856,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-09-13,quang le,santiago luna,0,0.5755102064025148,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-09-27,cam rowston,andre petroski,1,0.357024558772913,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-09-27,jake matthews,neil magny,0,0.5553852756965588,large_reach_difference,False,False,True,False,False,False,,True,True,False,True,False,False,False,False
2025-09-27,alexia thainara,loma lookboonmee,1,0.3700696508379775,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,True,False,False,False,True,False,False
2025-09-27,luana carolina,michelle montague,0,0.5584971711975064,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,True,False,False,False,True,False,False
2025-09-27,tom nolan,charlie campbell,1,0.4753322994035398,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,True,True,False,False,True,True,False
2025-10-04,chris gutierrez,farid basharat,0,0.5689007289870969,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,True,False,False,False,False,False
2025-10-04,daniel santos,joosang yoo,1,0.4506027835398521,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,True,True,False,False,True,True,False
2025-10-04,andre muniz,edmen shahbazyan,0,0.5110863644275409,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
2025-10-04,yana santos,macy chiasson,1,0.456815175372075,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,True,False,False,False,True,False
2025-10-04,alex pereira,magomed ankalaev,1,0.3178885886270711,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2025-10-04,patchy mix,jakub wiklacz,0,0.6639566191453086,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-10-04,austin vanderford,ramiz brahimaj,0,0.6172113291990239,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,True,True,False,False
2025-10-11,mateusz gamrot,charles oliveira,0,0.5915249324435157,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
