feature_group,features,accuracy,roc_auc,log_loss,brier,ece,accuracy_change_vs_baseline,log_loss_change_vs_baseline
baseline,14,0.6060279870828849,0.6458715723900106,0.6599553132358794,0.2336520678453241,0.019593684303748908,0.0,0.0
baseline_plus_recent_form,48,0.5984930032292788,0.637222593025196,0.6656265448233106,0.23598603680340988,0.024193439192804204,-0.00753498385360607,0.005671231587431214
baseline_plus_opponent_strength,52,0.604951560818084,0.6474799302890409,0.6600388933251904,0.23334468071010908,0.01938069554468128,-0.0010764262648008671,8.358008931097505e-05
baseline_plus_elo,30,0.6114101184068891,0.6527546025919128,0.6570720693087302,0.23205409889065967,0.024034404027681984,0.0053821313240042246,-0.002883243927149226
baseline_plus_style_interactions,20,0.604951560818084,0.6453570832638078,0.6606308682125411,0.2338717739450903,0.024986270667884218,-0.0010764262648008671,0.0006755549766617186
baseline_plus_age_decline,23,0.5931108719052745,0.6372040528765041,0.663127072715866,0.23514974095042954,0.03561882107498911,-0.012917115177610405,0.0031717594799866022
baseline_plus_debutant_experience,14,0.6060279870828849,0.6458715723900106,0.6599553132358794,0.2336520678453241,0.019593684303748908,0.0,0.0
baseline_plus_size_weight,26,0.604951560818084,0.6453408606337023,0.6594048542981393,0.2333351560796171,0.023338810119635046,-0.0010764262648008671,-0.0005504589377400837
full_rich_548,107,0.6071044133476857,0.6441172108200308,0.6647849149256222,0.23525602809686444,0.04172780728103512,0.0010764262648008671,0.00482960168974278
