name,family,feature_set,params,feature_count,tuning_accuracy,tuning_roc_auc,tuning_log_loss,tuning_brier,tuning_ece,confirmation_accuracy,confirmation_roc_auc,confirmation_log_loss,confirmation_brier,confirmation_ece,tuning_accuracy_std
v2_logistic_reference,logistic,v2,{'C': 1.0},107,0.6121212121212121,0.6460495601950171,0.6640601044962018,0.23494835125117206,0.024586753132688665,0.6269430051813472,0.6644618946944527,0.6510871534346521,0.22971533552713275,0.025491231424907033,0.022390103766965586
v3_hist_gradient,hist_gradient,v3,"{'max_iter': 200, 'learning_rate': 0.04, 'max_leaf_nodes': 15, 'l2_regularization': 3.0}",279,0.6080808080808081,0.6422870312891386,0.6626713291696381,0.23511857708423153,0.03363383210593895,0.6075129533678757,0.6664686734454177,0.6505537547074723,0.22933667865027954,0.035072237316431706,0.033970996927121064
v3_logistic_c0.1,logistic,v3,{'C': 0.1},279,0.6077441077441077,0.6400156282331928,0.669317416769314,0.23715666547775544,0.03447093010929515,0.6204663212435233,0.6590321822879963,0.6526035372898635,0.23057625106896604,0.04070839848501181,0.023612829796997945
v3_lightgbm,lightgbm,v3,"{'n_estimators': 300, 'learning_rate': 0.025, 'num_leaves': 12, 'max_depth': 4, 'min_child_samples': 35, 'subsample': 0.8, 'colsample_bytree': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 4.0}",279,0.6067340067340067,0.6424163590028424,0.6612596381283752,0.23451810625099667,0.024369404082757826,0.6398963730569949,0.6749790261418169,0.6451093217711256,0.2269520301570511,0.0519763391118572,0.02859073374348741
v3_logistic_c0.03,logistic,v3,{'C': 0.03},279,0.6063973063973064,0.6432824009032065,0.6658237494652092,0.23578677551330013,0.028037079738097263,0.616580310880829,0.6607369374811236,0.6515044199681895,0.23005127260566993,0.03965184003980718,0.02995892385881221
v3_xgboost,xgboost,v3,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.45, 'reg_alpha': 0.5, 'reg_lambda': 4.0}",279,0.6060606060606061,0.6469294424296548,0.6585231750348748,0.23324080027495744,0.014615702548813732,0.6191709844559585,0.6734689083526293,0.6459066885478691,0.22737177555054344,0.019912558130032034,0.02966314251954783
v3_catboost,catboost,v3,"{'iterations': 350, 'learning_rate': 0.025, 'depth': 4, 'l2_leaf_reg': 5.0}",279,0.6050505050505051,0.6467930811034512,0.6587753246530899,0.23334185826056025,0.010133479419852081,0.6321243523316062,0.673730662102755,0.6463111040758414,0.22754287288734948,0.04065016488704773,0.02584600122808118
v3_elastic_l1r0.5,elastic,v3,"{'C': 0.1, 'l1_ratio': 0.5}",279,0.6047138047138048,0.6450839132660285,0.663830621106713,0.2350244591967248,0.019305965066810628,0.6152849740932642,0.6643343736366991,0.6502752540208134,0.22935760440536843,0.0353812425344385,0.030707315030159523
v3_extra_trees,extra_trees,v3,"{'n_estimators': 300, 'min_samples_leaf': 7, 'max_features': 0.6}",279,0.604040404040404,0.640931812983958,0.6634861798210729,0.23519611389074224,0.010629439463841584,0.6256476683937824,0.6653881002718212,0.6512537708810565,0.22968149210196187,0.02830809696246187,0.02028040226377542
