rating,period,fights,accuracy,roc_auc,log_loss,brier,ece
standard_elo,tuning,2970,0.5531986531986532,0.567735957279199,0.6859974137706247,0.2464617943530683,0.015690711510011758
standard_elo,confirmation,772,0.5595854922279793,0.594379006006913,0.6821439832391741,0.24452996700612997,0.02640877992195144
elo_k16,tuning,2970,0.5505050505050505,0.5640680418059776,0.6885810731111152,0.24772555477650152,0.029728825926715954
elo_k16,confirmation,772,0.5595854922279793,0.5911104399476492,0.6862665038629764,0.24656722226701766,0.03913395068091652
elo_k24,tuning,2970,0.5515151515151515,0.5656939407470332,0.6871089138488499,0.2470020390571874,0.021742449563302534
elo_k24,confirmation,772,0.5569948186528497,0.5916943521594684,0.6839300665340037,0.24541023575715132,0.025357029220950466
elo_k48,tuning,2970,0.5531986531986532,0.5715985449951536,0.6846174698488284,0.2457985422006847,0.012003846257592177
elo_k48,confirmation,772,0.555699481865285,0.5970099667774087,0.6798934108997159,0.24341540751129245,0.052528520500002854
recency_elo,tuning,2970,0.5478114478114479,0.5675716883937226,0.6863419694139462,0.24662693431294375,0.01714598516238618
recency_elo,confirmation,772,0.5647668393782384,0.5987583475955569,0.683077908224766,0.24498177691945425,0.031937200809002135
division_elo,tuning,2970,0.5531986531986532,0.5628580335653064,0.687983396045429,0.24743409902791008,0.025357994934325927
division_elo,confirmation,772,0.5803108808290155,0.5978052954797141,0.685498266859593,0.24616914467941534,0.055737737063733965
glicko2,tuning,2970,0.5622895622895623,0.5932371135143377,0.7230882922157875,0.25887636747258375,0.10989554951560687
glicko2,confirmation,772,0.5531088082901554,0.5992784992784993,0.7207148135965151,0.25714760143034276,0.12159176131408375
bradley_terry,tuning,2970,0.5528619528619528,0.565153033256735,0.6876412920996983,0.2472627578286099,0.02654419713205298
bradley_terry,confirmation,772,0.5582901554404145,0.5912513842746401,0.6847795475936849,0.2458301293334636,0.030345869534953294
division_bradley_terry,tuning,2970,0.5494949494949495,0.5621197311435655,0.6887527698886672,0.247810637439486,0.028475875729852138
division_bradley_terry,confirmation,772,0.5880829015544041,0.5992550085573342,0.6862029877707847,0.24653166160061818,0.07258806964986354
