removed_group,removed_features,accuracy,roc_auc,log_loss,brier,ece,accuracy_change,log_loss_change
fighter_ratings,25,0.6077441077441077,0.6451429048547355,0.6598819053585706,0.23384132463587176,0.012113956891326355,0.0016835016835016203,0.0013587303836697373
opponent_quality,56,0.5983164983164984,0.6429053085169334,0.660192662514424,0.23404117342778444,0.014544154116601659,-0.00774410774410772,0.001669487539523118
striking,64,0.5949494949494949,0.6406477457952611,0.6613585156621923,0.23454952265992718,0.02053693573081531,-0.011111111111111183,0.00283534068729141
wrestling,45,0.6013468013468013,0.6452486359329564,0.6594964629801298,0.23368537911413997,0.013835021161069773,-0.004713804713804781,0.0009732880052288895
grappling,33,0.6050505050505051,0.6458133669494632,0.6594496415000193,0.23364114772039143,0.020887992217484542,-0.0010101010101010166,0.0009264665251184079
age,11,0.5959595959595959,0.6317872091714677,0.6648841030174241,0.23627454672578038,0.010120386045789874,-0.010101010101010166,0.006360928042523195
physical,3,0.6080808080808081,0.6474633163074532,0.6585391834086164,0.2332232971253086,0.014006886458156079,0.002020202020202033,1.6008433715519743e-05
recent_form,22,0.6053872053872054,0.644938703201519,0.6595327568341536,0.23371269037007522,0.015039729570298905,-0.0006734006734007147,0.0010095818592527062
trend,5,0.6037037037037037,0.6461037870784824,0.6588890038484826,0.2334194129887199,0.008253987971379696,-0.002356902356902335,0.00036582887358171945
activity,4,0.6080808080808081,0.6451798880430402,0.6591990867427728,0.23358185072205204,0.0162961715399617,0.002020202020202033,0.0006759117678719617
division_change,16,0.6003367003367004,0.6453496023059359,0.6592535566148974,0.2335813741043818,0.017787929235484053,-0.005723905723905687,0.0007303816399965024
matchup_interactions,11,0.6016835016835017,0.6457443921688213,0.6589167731066032,0.2334418109952717,0.014309899293212374,-0.004377104377104368,0.00039359813170236624
