fight_id,fight_date,fighter_a_won,weight_class,probability
26b46336baf995109799d0e8,2019-01-19,1,lightweight,0.28347036703429734
38913c7a553efd0ea27c4ce6,2019-01-19,0,light_heavyweight,0.5081118091813667
8126ece57175e39d22722e5b,2019-01-19,0,welterweight,0.5584597995274151
fb232738136fb41408e97318,2019-01-19,0,bantamweight,0.24925343106895814
cbce63c7e16d47b29e74d88a,2019-01-19,0,lightweight,0.24887828990952782
9a7c75d28b2227d353ffee0b,2019-01-19,1,light_heavyweight,0.28528312322741317
ed17d601382b0e1ee5f25834,2019-01-19,1,heavyweight,0.4976327758740459
5678ee79359ee825af2c6cf6,2019-01-19,0,lightweight,0.3315455521686275
25a9c1526fc208e6c7fe38c0,2019-01-19,0,flyweight,0.6630896269761072
7c630f0caa70766b4c9772ba,2019-01-19,0,womens_flyweight,0.40452035547409154
16e5b4cb10bf8316f059f140,2019-01-19,0,flyweight,0.5335034905285043
e290c1a53b53c40025a2f302,2019-01-19,1,welterweight,0.4939438683644
24cb0110e15bf9500f3a20ae,2019-01-19,0,womens_flyweight,0.3885666743276963
8efd36d5f3360c4d96328383,2019-02-02,1,lightweight,0.5170791588122575
414613fb990b2e1f8744a998,2019-02-02,0,welterweight,0.371403764798538
1b0fda4335818f786b8d6f2f,2019-02-02,1,featherweight,0.44346627802420197
1953db6fe5b9744c1843dd12,2019-02-02,0,light_heavyweight,0.34577177944990073
1cd6203b9577bfd25372eb22,2019-02-02,0,featherweight,0.5857508638672151
22cbf1de4862c931b9f97a10,2019-02-02,1,heavyweight,0.41431389009542885
7342c697833ab7bab79bea3e,2019-02-02,0,womens_strawweight,0.26793727657118394
f0a78186a92cdad28af6e943,2019-02-02,0,flyweight,0.6216209275026342
4523cf854ff48df6d66ba36f,2019-02-02,1,womens_flyweight,0.6031696842752903
34446cbf52a1732388aac036,2019-02-02,0,middleweight,0.5475650308952492
5467de70ec0bbfc6ea3f127e,2019-02-02,1,bantamweight,0.6513140568952597
15c9bca416c7204a3b9a9692,2019-02-02,1,bantamweight,0.46082264695678693
f50a16321d311cfb1f168e8c,2019-02-02,0,welterweight,0.7557327317007536
1d74549a59fbd93e268d0046,2019-02-09,1,lightweight,0.7841600381751207
e4525ba53a52b5b0857e967c,2019-02-09,0,lightweight,0.2696224604182407
896c12a96bf1da79303bc533,2019-02-09,1,middleweight,0.7407587965108093
fcaa078b4857c278dceb747d,2019-02-09,1,light_heavyweight,0.3718035417211989
b253a6a048ba0dd83a41d3a3,2019-02-09,1,flyweight,0.5302247102604639
4c10bda573f8c01d3c440405,2019-02-09,1,lightweight,0.6965290989243983
5fe9e229550df4983795b5be,2019-02-09,0,womens_flyweight,0.31864887716212675
5ad3dfcbceb50baabf4a06f1,2019-02-09,0,bantamweight,0.3807425602186637
19c65e9f1f86ac03182841f4,2019-02-09,0,featherweight,0.22351562853778942
b320535a9010e893cc6fe892,2019-02-09,1,bantamweight,0.5454893378875757
ca6f6af371cc512b6d1734d5,2019-02-09,0,bantamweight,0.5994493341060669
fb545f795d0e191fdab5bb79,2019-02-17,0,womens_strawweight,0.44201148055625983
3a7293241a2a807fa182f6f5,2019-02-17,0,featherweight,0.5487020232901586
90e1f32d8c4d591b474fd0de,2019-02-17,0,featherweight,0.5986963375819457
3038757c3f23bac29c322002,2019-02-17,1,womens_flyweight,0.34394668592158967
c015f09a4e1bf33ced9384e3,2019-02-17,0,bantamweight,0.6608818240117128
5891d36900849c98a50352f1,2019-02-17,0,womens_strawweight,0.36092100398118393
6959921b10f78a71e64300e8,2019-02-17,0,heavyweight,0.49950777292762694
657a85fc997ba3106e9c502b,2019-02-17,0,lightweight,0.5703258776421368
ca78a58998323e4f9fdbc72f,2019-02-17,0,bantamweight,0.42797237018910134
8cc10441cbf2614f8785b729,2019-02-17,0,bantamweight,0.5780172155528407
6118a8c78447f0434395fc87,2019-02-17,0,lightweight,0.47746861787808614
38cec55ae4c31d673c6a5cb7,2019-02-17,1,welterweight,0.6089479178270173
9e4bab0c77a4e9c538d5684c,2019-02-23,0,lightweight,0.3526401842285079
e7306a3ff9867fb2e7e85ac2,2019-02-23,0,lightweight,0.2997715637240841
c622965b0bcf635ba617dbb7,2019-02-23,0,featherweight,0.34035031522358916
f6151b74f7346e29cfac2985,2019-02-23,1,welterweight,0.4641488250535681
bb340698ea1e7e4cc05fe35d,2019-02-23,0,light_heavyweight,0.5243417904886791
1f68dad92eb77d22953924b9,2019-02-23,0,light_heavyweight,0.37211195120583757
f20354ebb869644c4afccb40,2019-02-23,1,bantamweight,0.678877526669133
68976dec066e7619e206ce8d,2019-02-23,1,womens_flyweight,0.41332521180866905
56cbf3ea04dbca631e7d843e,2019-02-23,0,light_heavyweight,0.4108636536094881
097be1f05c2d7e6e94d40303,2019-02-23,0,welterweight,0.7470309978997794
63c32ebc206ee6106b382e72,2019-02-23,1,lightweight,0.35610861211579536
fdd038da2b5f04c16971323a,2019-02-23,0,heavyweight,0.4525513757023913
c89ca4669b8e6877497edfa3,2019-02-23,0,womens_flyweight,0.29310630103720975
1b1fe5662b3d023466c64bc5,2019-03-02,0,bantamweight,0.6465431112387039
947d498d822062457d1e667e,2019-03-02,0,bantamweight,0.47933421132733184
