fight_id,fight_date,weight_class,method_label,p_Decision,p_KO/TKO,p_Submission
26b46336baf995109799d0e8,2019-01-19,lightweight,KO/TKO,0.5101378147995796,0.29465711086299323,0.1952050743374275
38913c7a553efd0ea27c4ce6,2019-01-19,light_heavyweight,KO/TKO,0.3105339263413592,0.4244798517633267,0.2649862218953142
8126ece57175e39d22722e5b,2019-01-19,welterweight,Decision,0.41501783216783217,0.3909852869352872,0.1939968808968808
fb232738136fb41408e97318,2019-01-19,bantamweight,Submission,0.318068510213557,0.4000144374888958,0.2819170522975478
cbce63c7e16d47b29e74d88a,2019-01-19,lightweight,Decision,0.5563275946275947,0.25753660783660803,0.1861357975357976
9a7c75d28b2227d353ffee0b,2019-01-19,light_heavyweight,Submission,0.4658152768799832,0.37987107794166614,0.15431364517835103
5678ee79359ee825af2c6cf6,2019-01-19,lightweight,KO/TKO,0.4763043221484401,0.26002526884879856,0.2636704090027619
25a9c1526fc208e6c7fe38c0,2019-01-19,flyweight,KO/TKO,0.4100604737367899,0.44685226966016456,0.14308725660304605
7c630f0caa70766b4c9772ba,2019-01-19,womens_flyweight,Decision,0.5800002651937436,0.18362569628439213,0.23637403852186467
16e5b4cb10bf8316f059f140,2019-01-19,flyweight,Decision,0.6380518938577764,0.2637560877031466,0.09819201843907722
e290c1a53b53c40025a2f302,2019-01-19,welterweight,Submission,0.31239699947342975,0.3721528022633704,0.31545019826320053
24cb0110e15bf9500f3a20ae,2019-01-19,womens_flyweight,Submission,0.5857130647130648,0.12007668997669002,0.2942102453102454
8efd36d5f3360c4d96328383,2019-02-02,lightweight,Submission,0.5155599234099235,0.22559414474414494,0.2588459318459321
414613fb990b2e1f8744a998,2019-02-02,welterweight,Submission,0.4149074314574317,0.3363594572094574,0.24873311133311152
1b0fda4335818f786b8d6f2f,2019-02-02,featherweight,Decision,0.5149614067707574,0.23640104038872134,0.2486375528405215
1953db6fe5b9744c1843dd12,2019-02-02,light_heavyweight,KO/TKO,0.37270676284499826,0.47047030518501126,0.15682293196999086
1cd6203b9577bfd25372eb22,2019-02-02,featherweight,KO/TKO,0.635270074370074,0.2289622211122213,0.13576770451770448
22cbf1de4862c931b9f97a10,2019-02-02,heavyweight,KO/TKO,0.2502951303598363,0.6503266334972219,0.09937823614294199
7342c697833ab7bab79bea3e,2019-02-02,womens_strawweight,Decision,0.4854763342141661,0.14029876639379374,0.3742248993920404
f0a78186a92cdad28af6e943,2019-02-02,flyweight,Decision,0.349196340652368,0.32287103716051596,0.3279326221871164
4523cf854ff48df6d66ba36f,2019-02-02,womens_flyweight,Decision,0.603168275973142,0.1356933840993123,0.2611383399275457
34446cbf52a1732388aac036,2019-02-02,middleweight,Submission,0.499251158684361,0.26419440329991295,0.23655443801572643
5467de70ec0bbfc6ea3f127e,2019-02-02,bantamweight,Submission,0.29687618492618517,0.5867885558885557,0.11633525918525917
15c9bca416c7204a3b9a9692,2019-02-02,bantamweight,KO/TKO,0.5541427187191893,0.3038965253700548,0.14196075591075605
f50a16321d311cfb1f168e8c,2019-02-02,welterweight,Decision,0.5571002331002333,0.3641165112665114,0.07878325563325562
1d74549a59fbd93e268d0046,2019-02-09,lightweight,KO/TKO,0.46974994449994434,0.3183232711732714,0.21192678432678447
e4525ba53a52b5b0857e967c,2019-02-09,lightweight,KO/TKO,0.47075716631893094,0.31621134230545994,0.21303149137560928
896c12a96bf1da79303bc533,2019-02-09,middleweight,Decision,0.4365230769230771,0.4205645909645909,0.14291233211233217
fcaa078b4857c278dceb747d,2019-02-09,light_heavyweight,KO/TKO,0.3722203900674492,0.504106295665119,0.12367331426743182
b253a6a048ba0dd83a41d3a3,2019-02-09,flyweight,Decision,0.4159321789321788,0.2782754523254525,0.3057923687423688
4c10bda573f8c01d3c440405,2019-02-09,lightweight,Submission,0.47553836280678363,0.3480066296276825,0.17645500756553392
5fe9e229550df4983795b5be,2019-02-09,womens_flyweight,Submission,0.7790898878898874,0.10636522366522363,0.11454488844488837
5ad3dfcbceb50baabf4a06f1,2019-02-09,bantamweight,Decision,0.5140698856698858,0.2546891774891777,0.23124093684093683
19c65e9f1f86ac03182841f4,2019-02-09,featherweight,Decision,0.6613065119091432,0.22586336382915342,0.11283012426170319
b320535a9010e893cc6fe892,2019-02-09,bantamweight,Submission,0.5299011508099742,0.21113769204651567,0.25896115714351015
ca6f6af371cc512b6d1734d5,2019-02-09,bantamweight,Decision,0.6036479126137019,0.20870913355650209,0.18764295382979615
fb545f795d0e191fdab5bb79,2019-02-17,womens_strawweight,Submission,0.6819173161379682,0.1134959454796411,0.20458673838239058
3a7293241a2a807fa182f6f5,2019-02-17,featherweight,Submission,0.5523830981368135,0.3207290693654473,0.12688783249773955
90e1f32d8c4d591b474fd0de,2019-02-17,featherweight,Decision,0.5943803474303472,0.27022113997114017,0.13539851259851257
3038757c3f23bac29c322002,2019-02-17,womens_flyweight,Decision,0.5941886446886445,0.12853357198357193,0.27727778332778347
c015f09a4e1bf33ced9384e3,2019-02-17,bantamweight,Submission,0.38626050616050617,0.2553979631479634,0.35834153069153074
5891d36900849c98a50352f1,2019-02-17,womens_strawweight,Decision,0.7912079698079703,0.07476822066822064,0.13402380952380957
6959921b10f78a71e64300e8,2019-02-17,heavyweight,KO/TKO,0.22904029859029862,0.6423556443556444,0.12860405705405703
657a85fc997ba3106e9c502b,2019-02-17,lightweight,Decision,0.5389985347985349,0.27304600399600415,0.18795546120546136
ca78a58998323e4f9fdbc72f,2019-02-17,bantamweight,Decision,0.557930053280053,0.3107665057165056,0.13130344100344096
8cc10441cbf2614f8785b729,2019-02-17,bantamweight,KO/TKO,0.5204503441003445,0.3008064491064493,0.1787432067932068
6118a8c78447f0434395fc87,2019-02-17,lightweight,Decision,0.5929084304584303,0.22336163836163858,0.18372993117993128
38cec55ae4c31d673c6a5cb7,2019-02-17,welterweight,KO/TKO,0.40966963461375233,0.40234126363832257,0.18798910174792538
9e4bab0c77a4e9c538d5684c,2019-02-23,lightweight,KO/TKO,0.5282585823019699,0.28624559041567377,0.1854958272823564
e7306a3ff9867fb2e7e85ac2,2019-02-23,lightweight,Decision,0.43697766612472516,0.28115715265127056,0.2818651812240049
c622965b0bcf635ba617dbb7,2019-02-23,featherweight,Submission,0.5499614490085077,0.2305352513499575,0.21950329964153512
f6151b74f7346e29cfac2985,2019-02-23,welterweight,KO/TKO,0.43650161635749873,0.3761018008135654,0.1873965828289358
bb340698ea1e7e4cc05fe35d,2019-02-23,light_heavyweight,KO/TKO,0.31863461669049925,0.5753869545487195,0.10597842876078171
1f68dad92eb77d22953924b9,2019-02-23,light_heavyweight,KO/TKO,0.2508453017570666,0.49252103582691825,0.25663366241601543
f20354ebb869644c4afccb40,2019-02-23,bantamweight,Decision,0.5485335454400673,0.31556135675918306,0.13590509780074997
68976dec066e7619e206ce8d,2019-02-23,womens_flyweight,Decision,0.6027678084348159,0.17001851615278737,0.22721367541239673
56cbf3ea04dbca631e7d843e,2019-02-23,light_heavyweight,Decision,0.2600175047175048,0.6142908646908646,0.12569163059163058
097be1f05c2d7e6e94d40303,2019-02-23,welterweight,Decision,0.5056096126096123,0.32101062271062303,0.17337976467976482
63c32ebc206ee6106b382e72,2019-02-23,lightweight,Decision,0.5542636370165781,0.2524622798769859,0.19327408310643623
fdd038da2b5f04c16971323a,2019-02-23,heavyweight,Submission,0.2788628630915012,0.5872673833906031,0.13386975351789596
c89ca4669b8e6877497edfa3,2019-02-23,womens_flyweight,Submission,0.7042061383061384,0.11120241425241421,0.1845914474414475
1b1fe5662b3d023466c64bc5,2019-03-02,bantamweight,KO/TKO,0.47300639751869256,0.3218655199991269,0.2051280824821809
947d498d822062457d1e667e,2019-03-02,bantamweight,Decision,0.6788881448616739,0.23686855073031554,0.0842433044080103
0d13e65dd754b3f1bc58e7b8,2019-03-02,welterweight,KO/TKO,0.300263841713842,0.3754708569208571,0.3242653013653015
54daae7c0fa28da8ca71a0f5,2019-03-02,middleweight,KO/TKO,0.4899150738150739,0.27711117771117794,0.23297374847374855
d15183f063880d7d4e9bbce1,2019-03-02,womens_bantamweight,KO/TKO,0.6787029954579958,0.09631298542298541,0.22498401911901922
5b92ec9d7c9365ea015380d9,2019-03-02,featherweight,Decision,0.5651812004988478,0.22397380397380423,0.2108449955273486
e6b1f51548c2ef5176c0c18c,2019-03-02,light_heavyweight,Decision,0.31305323500029386,0.5324465253700549,0.15450023962965148
a4499ea5511393f5c9bd2dbd,2019-03-02,light_heavyweight,KO/TKO,0.28986290567395323,0.5159865699022799,0.1941505244237669
593c1b1e6c82dec285a0ca06,2019-03-02,womens_strawweight,Decision,0.662052886002886,0.14968502053502053,0.18826209346209347
fb04d1b737f436ebc97b03b4,2019-03-02,welterweight,Submission,0.46593413567690717,0.40128839406911687,0.1327774702539762
568a7229b4b06a6455408f13,2019-03-02,womens_strawweight,Decision,0.7796690198690197,0.0585431901431901,0.16178778998779
75fc305627143c9630ca9bf5,2019-03-02,welterweight,Decision,0.479583732933733,0.377507858807859,0.14290840825840823
818abb53258da411751b41a4,2019-03-09,welterweight,KO/TKO,0.5377775423922484,0.3409445988651872,0.12127785874256458
2af546ec2d6b95fc63d0c56e,2019-03-09,lightweight,Decision,0.6021635276488212,0.2457797718621249,0.15205670048905345
58e767357e6d5c8330f66f2f,2019-03-09,welterweight,Decision,0.45641156995739063,0.4010643812328026,0.14252404880980737
aeb99a1990e3cb523a3641f3,2019-03-09,lightweight,Submission,0.5435007825507828,0.2706049783549786,0.1858942390942391
57bb3b3ccfd9285941e2f474,2019-03-09,heavyweight,Decision,0.342518031968032,0.4665540404040405,0.1909279276279277
e0fd283d4ad215ea9c9ecb5f,2019-03-09,heavyweight,KO/TKO,0.2640575506193155,0.5643078640313933,0.1716345853492913
91dd9ae4e12f09809b994011,2019-03-09,welterweight,Submission,0.5321740919211508,0.3778553459612285,0.08997056211762089
a822ba1d485f0fc8ac120f48,2019-03-09,featherweight,Decision,0.31311772149419215,0.47465753331635685,0.2122247451894512
5b43785643265dac8e96f96a,2019-03-09,bantamweight,Submission,0.5427012605042018,0.2703149144972676,0.186983824998531
33db1b31bad9e3c347f5d190,2019-03-09,womens_bantamweight,Decision,0.6213598290598294,0.12079025419025415,0.25784991674991703
e992a27d67c8e35a59363798,2019-03-09,heavyweight,Decision,0.20434999380521526,0.4587037401597992,0.3369462660349859
1598348e4d6680280ca7ecb1,2019-03-09,middleweight,Decision,0.4285216270657448,0.48622496523084746,0.08525340770340767
5793b77c4043eadce8dbc1a1,2019-03-09,welterweight,KO/TKO,0.35854703564409485,0.4108540100422455,0.23059895431366023
3b895d43f522ada07f4959b0,2019-03-16,featherweight,Decision,0.451314400305577,0.30461328214269395,0.24407231755172945
6d70742b8f98faa563b821eb,2019-03-16,featherweight,Submission,0.485379964187859,0.27778100087047464,0.23683903494166667
ace5bfe86e4b0d6735973199,2019-03-16,welterweight,Submission,0.4994414980444395,0.3707622916299388,0.12979621032562202
353e4c10440a62ea4553e3ff,2019-03-16,welterweight,KO/TKO,0.4636587579087578,0.4399919136419137,0.09634932844932838
