fight_id,fight_date,weight_class,method_label,p_Decision,p_KO/TKO,p_Submission
26b46336baf995109799d0e8,2019-01-19,lightweight,KO/TKO,0.46570947330522994,0.3590464248108353,0.17524410188393474
38913c7a553efd0ea27c4ce6,2019-01-19,light_heavyweight,KO/TKO,0.3229080333439918,0.44363991781089457,0.23345204884511372
8126ece57175e39d22722e5b,2019-01-19,welterweight,Decision,0.4276663544195031,0.3558861525202556,0.2164474930602412
fb232738136fb41408e97318,2019-01-19,bantamweight,Submission,0.4380519678227274,0.3581744071366909,0.20377362504058177
cbce63c7e16d47b29e74d88a,2019-01-19,lightweight,Decision,0.49566123421934094,0.30799071020933716,0.1963480555713219
9a7c75d28b2227d353ffee0b,2019-01-19,light_heavyweight,Submission,0.3591789761638052,0.4270690681204287,0.21375195571576602
5678ee79359ee825af2c6cf6,2019-01-19,lightweight,KO/TKO,0.42620745081603784,0.35808281612568127,0.21570973305828095
25a9c1526fc208e6c7fe38c0,2019-01-19,flyweight,KO/TKO,0.5069296851530434,0.3533367916973702,0.13973352314958645
7c630f0caa70766b4c9772ba,2019-01-19,womens_flyweight,Decision,0.4398820285132874,0.33548872994235135,0.22462924154436134
16e5b4cb10bf8316f059f140,2019-01-19,flyweight,Decision,0.5731562534187845,0.3154977513488134,0.11134599523240211
e290c1a53b53c40025a2f302,2019-01-19,welterweight,Submission,0.478827422441394,0.3123160165055281,0.2088565610530779
24cb0110e15bf9500f3a20ae,2019-01-19,womens_flyweight,Submission,0.5338259957029089,0.21228191059931514,0.253892093697776
8efd36d5f3360c4d96328383,2019-02-02,lightweight,Submission,0.4622772340119171,0.2934785435838212,0.2442442224042618
414613fb990b2e1f8744a998,2019-02-02,welterweight,Submission,0.42350651070817885,0.3815734756889733,0.19492001360284789
1b0fda4335818f786b8d6f2f,2019-02-02,featherweight,Decision,0.42733773973624095,0.2790427326089686,0.29361952765479055
1953db6fe5b9744c1843dd12,2019-02-02,light_heavyweight,KO/TKO,0.3807880093993984,0.4678717209997349,0.1513402696008668
1cd6203b9577bfd25372eb22,2019-02-02,featherweight,KO/TKO,0.6103078009322381,0.2508515698506358,0.1388406292171262
22cbf1de4862c931b9f97a10,2019-02-02,heavyweight,KO/TKO,0.3402171259971497,0.512196277807077,0.14758659619577325
7342c697833ab7bab79bea3e,2019-02-02,womens_strawweight,Decision,0.4269726650366515,0.22416442935203687,0.34886290561131167
f0a78186a92cdad28af6e943,2019-02-02,flyweight,Decision,0.32576372214746535,0.31568350770429393,0.35855277014824066
4523cf854ff48df6d66ba36f,2019-02-02,womens_flyweight,Decision,0.49746493227664523,0.24997690419132718,0.25255816353202765
34446cbf52a1732388aac036,2019-02-02,middleweight,Submission,0.40867653761976963,0.286834395739952,0.3044890666402783
5467de70ec0bbfc6ea3f127e,2019-02-02,bantamweight,Submission,0.3939267261458457,0.44886020993912773,0.15721306391502665
15c9bca416c7204a3b9a9692,2019-02-02,bantamweight,KO/TKO,0.6018782751497288,0.2601314769258589,0.13799024792441217
f50a16321d311cfb1f168e8c,2019-02-02,welterweight,Decision,0.5358985130308316,0.3469473705937239,0.11715411637544446
1d74549a59fbd93e268d0046,2019-02-09,lightweight,KO/TKO,0.3785732561257202,0.37680893491571554,0.24461780895856425
e4525ba53a52b5b0857e967c,2019-02-09,lightweight,KO/TKO,0.4547800962818161,0.3715063944170739,0.17371350930110996
896c12a96bf1da79303bc533,2019-02-09,middleweight,Decision,0.4704087474972571,0.3921022840843785,0.13748896841836447
fcaa078b4857c278dceb747d,2019-02-09,light_heavyweight,KO/TKO,0.4031502431456505,0.3877420977551208,0.20910765909922885
b253a6a048ba0dd83a41d3a3,2019-02-09,flyweight,Decision,0.4867999991532907,0.2750097962139937,0.2381902046327155
4c10bda573f8c01d3c440405,2019-02-09,lightweight,Submission,0.4502812582089274,0.37925991948538673,0.17045882230568582
5fe9e229550df4983795b5be,2019-02-09,womens_flyweight,Submission,0.6058143412912942,0.16341059481450296,0.23077506389420283
5ad3dfcbceb50baabf4a06f1,2019-02-09,bantamweight,Decision,0.5610608366029662,0.2185639724424308,0.22037519095460292
19c65e9f1f86ac03182841f4,2019-02-09,featherweight,Decision,0.5980591608479663,0.2720535393349494,0.12988729981708436
b320535a9010e893cc6fe892,2019-02-09,bantamweight,Submission,0.5255220159657754,0.23593909548305633,0.23853888855116817
ca6f6af371cc512b6d1734d5,2019-02-09,bantamweight,Decision,0.5675304471141898,0.263663649166912,0.1688059037188983
fb545f795d0e191fdab5bb79,2019-02-17,womens_strawweight,Submission,0.5674342869733853,0.22152188726906122,0.21104382575755337
3a7293241a2a807fa182f6f5,2019-02-17,featherweight,Submission,0.505448613153984,0.3041834263496771,0.19036796049633886
90e1f32d8c4d591b474fd0de,2019-02-17,featherweight,Decision,0.503884731971382,0.3312992787306294,0.16481598929798874
3038757c3f23bac29c322002,2019-02-17,womens_flyweight,Decision,0.6099279132666879,0.21459449025907634,0.17547759647423564
c015f09a4e1bf33ced9384e3,2019-02-17,bantamweight,Submission,0.47957249347858144,0.23971301331792355,0.2807144932034951
5891d36900849c98a50352f1,2019-02-17,womens_strawweight,Decision,0.6162394973200259,0.17057702377857228,0.21318347890140188
6959921b10f78a71e64300e8,2019-02-17,heavyweight,KO/TKO,0.2827553052058655,0.5916745357637335,0.12557015903040103
657a85fc997ba3106e9c502b,2019-02-17,lightweight,Decision,0.5044705907499903,0.32203043362724554,0.17349897562276406
ca78a58998323e4f9fdbc72f,2019-02-17,bantamweight,Decision,0.6033626690835743,0.24527836846062434,0.1513589624558014
8cc10441cbf2614f8785b729,2019-02-17,bantamweight,KO/TKO,0.5208150080898588,0.3047683244754938,0.17441666743464748
6118a8c78447f0434395fc87,2019-02-17,lightweight,Decision,0.563446419309832,0.286215543914839,0.150338036775329
38cec55ae4c31d673c6a5cb7,2019-02-17,welterweight,KO/TKO,0.43139560645321046,0.36360497663882946,0.20499941690796006
9e4bab0c77a4e9c538d5684c,2019-02-23,lightweight,KO/TKO,0.4939313481754087,0.36059048171783487,0.1454781701067565
e7306a3ff9867fb2e7e85ac2,2019-02-23,lightweight,Decision,0.4919881451975781,0.27682362481587547,0.2311882299865464
c622965b0bcf635ba617dbb7,2019-02-23,featherweight,Submission,0.5097546139187911,0.2902569051629936,0.19998848091821536
f6151b74f7346e29cfac2985,2019-02-23,welterweight,KO/TKO,0.5311657484959318,0.31061470632976973,0.15821954517429854
bb340698ea1e7e4cc05fe35d,2019-02-23,light_heavyweight,KO/TKO,0.37896091310838825,0.48890071561263615,0.1321383712789756
1f68dad92eb77d22953924b9,2019-02-23,light_heavyweight,KO/TKO,0.34295749242949874,0.4965270734938818,0.16051543407661947
f20354ebb869644c4afccb40,2019-02-23,bantamweight,Decision,0.5372768003004494,0.3219705515899906,0.1407526481095599
68976dec066e7619e206ce8d,2019-02-23,womens_flyweight,Decision,0.5905396693167735,0.2569531207496167,0.15250720993360994
56cbf3ea04dbca631e7d843e,2019-02-23,light_heavyweight,Decision,0.3223511571444956,0.5096093946413588,0.1680394482141456
097be1f05c2d7e6e94d40303,2019-02-23,welterweight,Decision,0.4055570937461111,0.33208430153665736,0.26235860471723155
63c32ebc206ee6106b382e72,2019-02-23,lightweight,Decision,0.4807457276636771,0.3380918505834975,0.18116242175282546
fdd038da2b5f04c16971323a,2019-02-23,heavyweight,Submission,0.28293858734010036,0.5457546379005614,0.17130677475933806
c89ca4669b8e6877497edfa3,2019-02-23,womens_flyweight,Submission,0.5112390029928071,0.2136197782623127,0.27514121874488
1b1fe5662b3d023466c64bc5,2019-03-02,bantamweight,KO/TKO,0.48453408836306394,0.3324637550510501,0.18300215658588606
947d498d822062457d1e667e,2019-03-02,bantamweight,Decision,0.6213329200805524,0.25622772922292875,0.12243935069651891
0d13e65dd754b3f1bc58e7b8,2019-03-02,welterweight,KO/TKO,0.39177049511174367,0.3425444359884013,0.2656850688998551
54daae7c0fa28da8ca71a0f5,2019-03-02,middleweight,KO/TKO,0.42569654126132117,0.31629905553640614,0.2580044032022727
d15183f063880d7d4e9bbce1,2019-03-02,womens_bantamweight,KO/TKO,0.4904154250026734,0.21899755753420871,0.29058701746311777
5b92ec9d7c9365ea015380d9,2019-03-02,featherweight,Decision,0.5830496648367937,0.2508262647929702,0.16612407037023613
e6b1f51548c2ef5176c0c18c,2019-03-02,light_heavyweight,Decision,0.36478901597532654,0.5227193337374262,0.11249165028724735
a4499ea5511393f5c9bd2dbd,2019-03-02,light_heavyweight,KO/TKO,0.28569584753729577,0.479795295026076,0.23450885743662836
593c1b1e6c82dec285a0ca06,2019-03-02,womens_strawweight,Decision,0.5078756254892927,0.24620553207623264,0.24591884243447468
fb04d1b737f436ebc97b03b4,2019-03-02,welterweight,Submission,0.4805614345182076,0.381641537113652,0.1377970283681405
568a7229b4b06a6455408f13,2019-03-02,womens_strawweight,Decision,0.6449560317674118,0.181139310301934,0.1739046579306542
75fc305627143c9630ca9bf5,2019-03-02,welterweight,Decision,0.44697458293230086,0.44335755969678414,0.10966785737091497
818abb53258da411751b41a4,2019-03-09,welterweight,KO/TKO,0.5671596053239262,0.2838007892716721,0.14903960540440164
2af546ec2d6b95fc63d0c56e,2019-03-09,lightweight,Decision,0.49741517261138657,0.34336023925747955,0.1592245881311339
58e767357e6d5c8330f66f2f,2019-03-09,welterweight,Decision,0.5275154584346824,0.3107280735372594,0.1617564680280582
aeb99a1990e3cb523a3641f3,2019-03-09,lightweight,Submission,0.5131179475506189,0.2912457101846916,0.19563634226468948
57bb3b3ccfd9285941e2f474,2019-03-09,heavyweight,Decision,0.5100903707266874,0.3580604646817956,0.13184916459151697
e0fd283d4ad215ea9c9ecb5f,2019-03-09,heavyweight,KO/TKO,0.34768246796124,0.5270316195620288,0.1252859124767311
91dd9ae4e12f09809b994011,2019-03-09,welterweight,Submission,0.5428378355253958,0.33839698127126644,0.11876518320333768
a822ba1d485f0fc8ac120f48,2019-03-09,featherweight,Decision,0.4052943479253424,0.31632867643461376,0.2783769756400437
5b43785643265dac8e96f96a,2019-03-09,bantamweight,Submission,0.49099989637817654,0.25970544722988703,0.24929465639193646
33db1b31bad9e3c347f5d190,2019-03-09,womens_bantamweight,Decision,0.5308179984630426,0.2532129802180099,0.21596902131894757
e992a27d67c8e35a59363798,2019-03-09,heavyweight,Decision,0.30883211221196805,0.41123740506256523,0.2799304827254666
1598348e4d6680280ca7ecb1,2019-03-09,middleweight,Decision,0.4537904328838444,0.4028463257281022,0.14336324138805337
5793b77c4043eadce8dbc1a1,2019-03-09,welterweight,KO/TKO,0.4168954989952874,0.3794841349583932,0.2036203660463195
3b895d43f522ada07f4959b0,2019-03-16,featherweight,Decision,0.5761284719513938,0.2194439457890703,0.2044275822595358
6d70742b8f98faa563b821eb,2019-03-16,featherweight,Submission,0.43523895549451364,0.2629276778071532,0.30183336669833327
ace5bfe86e4b0d6735973199,2019-03-16,welterweight,Submission,0.4658049154068027,0.35778310010921394,0.17641198448398346
353e4c10440a62ea4553e3ff,2019-03-16,welterweight,KO/TKO,0.4048352746903969,0.46425630100778825,0.13090842430181487
20e86b5d807bb2dc387b78f3,2019-03-16,middleweight,Decision,0.49025004913582065,0.37447562615475616,0.13527432470942316
f7dfb4e06c955b5b53ddc717,2019-03-16,welterweight,Decision,0.5606550033036928,0.27037978267416374,0.16896521402214337
6cac406144299eba656c31c8,2019-03-16,lightweight,Decision,0.4854525990449878,0.2940323588777839,0.22051504207722822
bf87589c5256203f65f72bbf,2019-03-16,featherweight,KO/TKO,0.5246779570727561,0.2783212339908944,0.19700080893634941
