name,family,feature_set,params,features,validation_fights,accuracy,roc_auc,log_loss,brier,ece,accuracy_std_by_year
xgboost_rich730,xgboost,rich_730,"{'n_estimators': 350, 'learning_rate': 0.025, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8}",92,2970,0.6050505050505051,0.6491795177573758,0.6573587386755498,0.23270092413595034,0.014832860713053243,0.03160392233288296
random_forest_rich730,random_forest,rich_730,"{'n_estimators': 350, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",92,2970,0.6101010101010101,0.6491384505360067,0.659401888356857,0.23347156140391598,0.018490736649322395,0.02609515973934828
logistic_core_c0.1,logistic,core,{'C': 0.1},22,2970,0.6053872053872054,0.6467102659885355,0.6598297013594198,0.23369882109959375,0.010073878223692549,0.01949403851841428
logistic_core_c1,logistic,core,{'C': 1.0},22,2970,0.6050505050505051,0.6463876273764534,0.6599518495083929,0.23375038047967733,0.009536082489745346,0.02010943832235036
gradient_boosting_rich730,gradient_boosting,rich_730,"{'n_estimators': 180, 'learning_rate': 0.03, 'max_depth': 2}",92,2970,0.5996632996632997,0.6437908630197159,0.6603865838654154,0.2341132771662986,0.0165846843498839,0.025359924056986904
logistic_rich_1095_c0.1,logistic,rich_1095,{'C': 0.1},92,2970,0.6063973063973064,0.6483679296312027,0.661069788969911,0.23387683766864742,0.019945501822817464,0.026432992759066787
logistic_rich_730_c0.1,logistic,rich_730,{'C': 0.1},92,2970,0.6047138047138048,0.6475674591505937,0.6615010735257121,0.2340873536446979,0.018367838252831538,0.024118627857320288
logistic_rich_365_c0.1,logistic,rich_365,{'C': 0.1},92,2970,0.6087542087542087,0.6456620308353572,0.6626268323609246,0.2346107727538347,0.019738566369008118,0.025141732924524804
logistic_rich_1095_c1,logistic,rich_1095,{'C': 1.0},92,2970,0.6047138047138048,0.6453589048256934,0.6635320589102074,0.234908352631324,0.022073211976973244,0.021186315875743995
logistic_rich_730_c1,logistic,rich_730,{'C': 1.0},92,2970,0.6060606060606061,0.6447426696144309,0.6639056558872846,0.23508220360520576,0.021300688161517832,0.022170735108990498
extra_trees_rich730,extra_trees,rich_730,"{'n_estimators': 350, 'min_samples_leaf': 6, 'max_features': 0.7}",92,2970,0.5915824915824915,0.6406904012517107,0.6640392726147257,0.23538064821684435,0.024279654529300383,0.025538964429355476
logistic_rich_180_c0.1,logistic,rich_180,{'C': 0.1},92,2970,0.604040404040404,0.6432293084733702,0.6640619120688347,0.23524363119085406,0.02425817522068955,0.027693176453217047
logistic_rich_365_c1,logistic,rich_365,{'C': 1.0},92,2970,0.6087542087542087,0.6436576781636736,0.6646994358576844,0.2354310822408108,0.0264237335082219,0.023575960472095505
logistic_rich_180_c1,logistic,rich_180,{'C': 1.0},92,2970,0.6080808080808081,0.6417980817750478,0.6658504109680383,0.23592887438758622,0.029753632380581117,0.025117714712236328
hist_gradient_rich730,hist_gradient,rich_730,"{'max_iter': 220, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 2.0}",92,2970,0.5902356902356902,0.6360228052406312,0.6672801598535628,0.23712293111877125,0.040524186449244284,0.0305141461735429
